Material,kV,a,b,y
Plate glass,70,0.05791,0.13570000000000002,0.5967
Plate glass,75,0.052910000000000006,0.128,0.6478
Plate glass,80,0.049550000000000004,0.1208,0.7097000000000001
Plate glass,85,0.04721,0.11399999999999999,0.7786
Plate glass,90,0.0455,0.1077,0.8522000000000001
Plate glass,95,0.0441,0.1013,0.9222
Plate glass,100,0.04278,0.09466,0.9791000000000001
Plate glass,105,0.04143,0.08750999999999999,1.014
Plate glass,110,0.04008,0.08047000000000001,1.03
Plate glass,115,0.03878,0.07394,1.033
Plate glass,120,0.03758,0.06808,1.031
Plate glass,125,0.036520000000000004,0.06304,1.031
Plate glass,130,0.03561,0.05874,1.037
Plate glass,135,0.03481,0.05519,1.049
Plate glass,140,0.03407,0.051449999999999996,1.057
Plate glass,145,0.03336,0.04795,1.063
Plate glass,150,0.03266,0.04491,1.073
Wood,25,0.0223,0.0434,0.1937
Wood,30,0.02166,0.03966,0.2843
Wood,35,0.01901,0.03873,0.37320000000000003
Wood,50,0.01076,0.0018620000000000002,1.17
Wood,55,0.01012,0.0014039999999999999,1.269
Wood,60,0.009512000000000001,0.0009672000000000001,1.333
Wood,65,0.00899,0.000647,1.353
Wood,70,0.00855,0.000539,1.194
Wood,75,0.008203,0.0006421,1.062
Wood,80,0.007903,0.0008640000000000001,0.9702999999999999
Wood,85,0.007686,0.001056,1.015
Wood,90,0.007511,0.001159,1.081
Wood,95,0.007345,0.0011330000000000001,1.116
Wood,100,0.00723,0.0009343,1.309
Wood,105,0.00705,0.0006199,1.365
Wood,110,0.006921,0.0001976,3.309
Wood,115,0.006864,-0.0003908,0.6469
Wood,120,0.006726,-0.0008308,1.006
Wood,125,0.006584,-0.001214,1.192
Wood,130,0.006472,-0.001539,1.285
Wood,135,0.006306,-0.0017310000000000001,1.465
Wood,140,0.006191,0.001849,1.53
Wood,145,0.006115000000000001,-0.001869,1.498
Wood,150,0.006019999999999999,0.001752,1.483
Brick,50,0.092,0.181,0.563
Brick,70,0.0506,0.137,0.715
Brick,90,0.0375,0.082,0.892
Brick,100,0.0428,0.088,1.149
Brick,125,0.0287,0.067,1.346
